20 40 60 -0.000175053
20 40 60 -0.000193665
20 40 60 -0.000208798
20 40 60 -0.000221026
20 40 60 3.68386e-05
20 40 60 0
20 40 60 -3.55404e-05
20 40 60 -6.77706e-05
20 40 60 -9.58102e-05
20 40 60 -0.000119636
20 40 60 -0.000139618
20 40 60 -0.000156228
20 40 60 -0.000169915
20 40 60 -0.000181066
20 40 60 2.80285e-05
20 40 60 0
20 40 60 -2.7331e-05
20 40 60 -5.27812e-05
20 40 60 -7.56318e-05
20 40 60 -9.56165e-05
20 40 60 -0.000112769
20 40 60 -0.000127272
20 40 60 -0.000139363
20 40 60 -0.000149285
20 40 60 2.19452e-05
20 40 60 0
20 40 60 -2.15222e-05
20 40 60 -4.18666e-05
20 40 60 -6.04938e-05
20 40 60 -7.71082e-05
20 40 60 -9.16125e-05
20 40 60 -0.000104039
20 40 60 -0.000114493
20 40 60 -0.000123111
20 40 60 1.74218e-05
20 40 60 0
20 40 60 -1.71426e-05
20 40 60 -3.34925e-05
20 40 60 -4.86465e-05
20 40 60 -6.2339e-05
20 40 60 -7.44321e-05
20 40 60 -8.48863e-05
20 40 60 -9.37287e-05
20 40 60 -0.000101027
20 40 60 1.38816e-05
20 40 60 0
20 40 60 -1.36856e-05
20 40 60 -2.6808e-05
20 40 60 -3.90609e-05
20 40 60 -5.02199e-05
20 40 60 -6.01437e-05
20 40 60 -6.87622e-05
20 40 60 -7.60604e-05
20 40 60 -8.20618e-05
20 40 60 1.10072e-05
20 40 60 0
20 40 60 -1.08633e-05
20 40 60 -2.13094e-05
20 40 60 -3.11013e-05
20 40 60 -4.00529e-05
20 40 60 -4.80333e-05
20 40 60 -5.49632e-05
20 40 60 -6.08062e-05
20 40 60 -6.55597e-05
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
30 50 70 0
40 60 80 0.0141186
40 60 80 0.000632414
40 60 80 0.000400656
40 60 80 0
40 60 80 -0.000175132
40 60 80 -0.000253233
40 60 80 -0.000302198
40 60 80 -0.000336395
40 60 80 -0.000361449
40 60 80 -0.000380175
40 60 80 -0.000394199
40 60 80 0.000293275
40 60 80 0.000175132
40 60 80 0
40 60 80 -0.000117876
40 60 80 -0.000188357
40 60 80 -0.000236279
40 60 80 -0.000271357
40 60 80 -0.000298087
40 60 80 -0.000318873
40 60 80 -0.000335148
40 60 80 0.000150328
40 60 80 7.96346e-05
40 60 80 0
40 60 80 -7.06402e-05
40 60 80 -0.000125275
40 60 80 -0.000166839
40 60 80 -0.000199032
40 60 80 -0.000224427
40 60 80 -0.000244699
40 60 80 -0.000260959
40 60 80 9.94083e-05
40 60 80 5.11504e-05
40 60 80 0
40 60 80 -4.82381e-05
40 60 80 -8.98223e-05
40 60 80 -0.000124181
40 60 80 -0.000152214
40 60 80 -0.000175053
40 60 80 -0.000193665
40 60 80 -0.000208798
40 60 80 7.23883e-05
40 60 80 3.68386e-05
40 60 80 0
40 60 80 -3.55404e-05
40 60 80 -6.77706e-05
40 60 80 -9.58102e-05
40 60 80 -0.000119636
40 60 80 -0.000139618
40 60 80 -0.000156228
40 60 80 -0.000169915
40 60 80 5.53646e-05
40 60 80 2.80285e-05
40 60 80 0
40 60 80 -2.7331e-05
40 60 80 -5.27812e-05
40 60 80 -7.56318e-05
40 60 80 -9.56165e-05
40 60 80 -0.000112769
40 60 80 -0.000127272
40 60 80 -0.000139363
40 60 80 4.34706e-05
40 60 80 2.19452e-05
40 60 80 0
40 60 80 -2.15222e-05
40 60 80 -4.18666e-05
40 60 80 -6.04938e-05
40 60 80 -7.71082e-05
40 60 80 -9.16125e-05
40 60 80 -0.000104039
40 60 80 -0.000114493
40 60 80 3.45666e-05
40 60 80 1.74218e-05
40 60 80 0
40 60 80 -1.71426e-05
40 60 80 -3.34925e-05
40 60 80 -4.86465e-05
40 60 80 -6.2339e-05
40 60 80 -7.44321e-05
40 60 80 -8.48863e-05
40 60 80 -9.37287e-05
40 60 80 2.75687e-05
40 60 80 1.38816e-05
40 60 80 0
40 60 80 -1.36856e-05
40 60 80 -2.6808e-05
40 60 80 -3.90609e-05
40 60 80 -5.02199e-05
40 60 80 -6.01437e-05
40 60 80 -6.87622e-05
40 60 80 -7.60604e-05
40 60 80 2.18717e-05
40 60 80 1.10072e-05
40 60 80 0
40 60 80 -1.08633e-05
40 60 80 -2.13094e-05
40 60 80 -3.11013e-05
40 60 80 -4.00529e-05
40 60 80 -4.80333e-05
40 60 80 -5.49632e-05
50 70 90 -6.08062e-05
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
50 70 90 0
60 80 1 0
60 80 1 0.0139775
60 80 1 0.000657654
60 80 1 0.000632414
60 80 1 0.000400656
60 80 1 0
60 80 1 -0.000175132
60 80 1 -0.000253233
60 80 1 -0.000302198
60 80 1 -0.000336395
60 80 1 -0.000361449
60 80 1 -0.000380175
60 80 1 0.00036438
60 80 1 0.000293275
60 80 1 0.000175132
60 80 1 0
60 80 1 -0.000117876
